,0,1
Sample1006,0.6920785458383607,0.3079214541616394
Sample1023,0.35423928548326733,0.6457607145167327
Sample118,0.6543945071075568,0.3456054928924433
Sample120,0.4571982514513213,0.5428017485486787
Sample127,0.0002022034982525601,0.9997977965017474
Sample134,0.41404754680900135,0.5859524531909986
Sample177,0.498739889729858,0.5012601102701421
Sample215,0.47788377769005913,0.5221162223099409
Sample230,0.2941937042350791,0.7058062957649209
Sample234,0.31757842990237817,0.6824215700976218
Sample244,0.2892295544842419,0.7107704455157581
Sample261,9.99999000061613e-07,0.9999990000010001
Sample263,0.7419471581889836,0.25805284181101645
Sample290,0.09958312429463254,0.9004168757053674
Sample302,0.3041540085076487,0.6958459914923514
Sample321,0.4948823428005049,0.5051176571994951
Sample330,0.20470959355831564,0.7952904064416844
Sample343,0.07023357718071696,0.9297664228192831
Sample353,0.38870690189211665,0.6112930981078833
Sample371,0.01274246292263292,0.9872575370773672
Sample387,0.12265190729203079,0.8773480927079692
Sample409,0.07822031728467348,0.9217796827153265
Sample416,0.5458485085227893,0.45415149147721073
Sample424,0.7644958389902899,0.23550416100971006
Sample427,0.13130353691446298,0.868696463085537
Sample454,0.273490207644024,0.726509792355976
Sample477,0.013526383522217593,0.9864736164777824
Sample482,0.015292444232401154,0.9847075557675989
Sample491,0.13683476691219837,0.8631652330878017
Sample495,0.10409339025088449,0.8959066097491156
Sample507,0.99999900000072,9.999992801252924e-07
Sample509,0.057062859808111537,0.9429371401918883
Sample512,0.07291608969826123,0.9270839103017388
Sample522,0.01979957743772053,0.9802004225622796
Sample548,0.9704509812505902,0.029549018749409885
Sample564,0.22569905473535765,0.7743009452646424
Sample609,0.1807055574048105,0.8192944425951896
Sample616,0.3288299035141534,0.6711700964858466
Sample620,0.2096250102086391,0.7903749897913609
Sample624,0.6628371706893894,0.3371628293106106
Sample631,0.21208625098894765,0.7879137490110524
Sample687,0.03122010825134133,0.9687798917486586
Sample710,0.3880640295009223,0.6119359704990777
Sample712,0.3819079586202261,0.6180920413797739
Sample717,0.7111950216571324,0.2888049783428676
Sample733,0.1628686481262062,0.8371313518737938
Sample746,0.5194772284371036,0.4805227715628963
Sample759,0.04462555348979145,0.9553744465102085
Sample767,0.00034669667374962024,0.9996533033262505
Sample803,2.931824506569747e-05,0.9999706817549343
Sample812,0.14883535197231249,0.8511646480276875
Sample827,0.0865598911472713,0.9134401088527287
Sample838,0.11935296635863171,0.8806470336413683
Sample853,0.0772748716520964,0.9227251283479035
Sample868,0.03508920394271129,0.9649107960572887
Sample871,0.3110188950762522,0.6889811049237478
Sample872,0.7196025082284975,0.28039749177150247
Sample882,0.13140364114261419,0.8685963588573858
Sample904,0.7999722457519038,0.20002775424809616
Sample906,0.14041513081887136,0.8595848691811286
Sample919,9.999991792038654e-07,0.9999990000008209
Sample943,0.009559097652788954,0.9904409023472109
Sample961,0.35289286722509483,0.6471071327749052
Sample983,0.1884876603810424,0.8115123396189576
