,0,1,2,3,4
Sample1006,0.03503806916237025,0.042198736975704164,0.2217175217969244,0.07501189939468193,0.6260337726703193
Sample1023,0.06539490329257931,0.3253116023184556,0.6092832601523684,5.107326291871141e-06,5.126910304895024e-06
Sample118,0.07347517530363548,0.5498320212533159,0.37578427834597405,0.0009075250980735797,9.999990011047289e-07
Sample120,0.6311158151853156,0.003229750338365764,0.3652483337029916,0.00031395176651196255,9.214900681506021e-05
Sample127,0.007524641964676705,9.99997528891168e-07,0.9924723580427368,9.99997528891168e-07,9.99997528891168e-07
Sample134,3.986183176022188e-06,0.4132842665185822,0.5854168408816515,0.0010703229202317958,0.00022458349635857212
Sample177,0.5843492413348725,9.999975519461426e-07,0.4156477586724718,9.999975519461426e-07,9.999975519461426e-07
Sample215,0.002609004741347544,0.4805938546183841,0.516795140644237,9.99998015700164e-07,9.99998015700164e-07
Sample230,0.041704362203304965,0.21505513509794302,0.6863023261626825,0.056936153451254246,2.0230848153051007e-06
Sample234,0.0008781122422317014,0.34339995466459755,0.6557199330969562,9.999981073692807e-07,9.999981073692807e-07
Sample244,0.03220720019676628,0.2738215209357324,0.6937155109475963,0.00010185499696656566,0.00015391292293844187
Sample261,2.2314680901769975e-05,0.0032099891563235235,0.9967163998135697,4.103466715391246e-06,4.719288248960747e-05
Sample263,9.999990209497537e-07,0.029237990230859434,0.17019108504541683,0.0001900328070993621,0.8003798919176034
Sample290,0.04742176335272785,0.08000943726505254,0.8551022707205094,0.017260949095889898,0.00020557956582034325
Sample302,0.11493720100291727,0.18240362617870212,0.6739491041531797,0.02700505416924571,0.0017050144959553557
Sample321,4.381292133756979e-05,0.4989854890880491,0.4993273750449449,9.999990000173808e-07,0.0016423229466682513
Sample330,0.042129945789900786,0.20279545630886428,0.7549574047388973,5.776167870872314e-06,0.00011141699446685636
Sample343,0.065485519289206,0.03450030915989431,0.9000121715543781,9.999982608853658e-07,9.999982608853658e-07
Sample353,0.04238916637041219,0.10305341056398948,0.5030737970252617,0.31652616633442365,0.03495745970591316
Sample371,0.013811145082528798,9.999980061713574e-07,0.9369833190990957,0.04920353582236319,9.999980061713574e-07
Sample387,0.017404091628217294,0.00010553611511309497,0.7676538363459722,0.2148355359116976,9.99999000001e-07
Sample409,0.008224162351549245,0.022298160503039267,0.843517518783588,0.12595915836274277,9.999990806387276e-07
Sample416,0.02748779794006162,0.013784563125582633,0.39767806164677805,9.999995214021797e-07,0.5610485772880563
Sample424,0.04262429951491263,0.5350224441525735,0.15943419438858275,0.262918061944931,9.999990000073503e-07
Sample427,0.04688610299854479,0.12686391913261105,0.825195796685853,4.776281567522087e-05,0.0010064183673158882
Sample454,0.06569188535945991,0.26253979115719966,0.670518496920901,0.0012481326850875077,1.6938773519607775e-06
Sample477,0.03333126641771843,0.0016795809697583077,0.9649802779392489,9.999990000009998e-07,7.874674274217855e-06
Sample482,0.05248425887163762,9.99998000004165e-07,0.94744771284532,6.602828704244225e-05,9.99998000004165e-07
Sample491,0.1504913824559234,0.021912319553695683,0.8270719769434054,6.565636859303112e-05,0.0004586646783825571
Sample495,0.0002955100674691364,0.00013647507732147577,0.7851856115042576,0.21399207514203167,0.00039032820892017034
Sample507,9.99997710494949e-07,0.9991882827500284,9.99997710494949e-07,0.0008087172568401681,9.99997710494949e-07
Sample509,0.05294824060823936,0.0009532946274343723,0.9121451856141587,0.03394505346718059,8.225682986871814e-06
Sample512,0.045376024930827555,0.0342954485944168,0.8963168824220176,0.024010644053738192,9.99999000001013e-07
Sample522,0.020134751611907472,9.99998000122417e-07,0.9306650764698174,0.04919817192227487,9.99998000122417e-07
Sample548,0.9464131897530728,0.053583810255904155,9.999970077523768e-07,9.999970077523768e-07,9.999970077523768e-07
Sample564,0.019602128924860667,0.004359652486217961,0.6978486959723081,0.12122205854352669,0.15696746407308648
Sample609,0.1479946360625865,0.0708619497243587,0.7802543440140738,0.00040393191326639096,0.000485138285714601
Sample616,0.02163027775708023,2.6949674152754887e-06,0.5709990805876862,0.21322955553209377,0.19413839115572445
Sample620,0.024359758685526665,0.20807384542084637,0.7464178999894786,0.021143750887909048,4.745016239293568e-06
Sample624,0.010896667267447568,0.0314176592605936,0.21082496775730264,0.028043094131337952,0.7188176115833183
Sample631,9.999980841880837e-07,0.2108050106526476,0.744032813919005,0.045160175432179143,9.999980841880837e-07
Sample687,0.03881965630662104,8.937150383514846e-05,0.8672350444516624,0.09385257680597439,3.350931906850084e-06
Sample710,0.10634410923287348,0.29385468852327146,0.599505884876822,0.0002943173679998285,9.99999033338972e-07
Sample712,0.1852909666493731,0.23583727934795828,0.578368231118331,0.0005025228853218435,9.999990157345092e-07
Sample717,7.173609857204775e-06,0.47579408948497187,0.23062714971412415,0.293569610331517,1.9768595297772723e-06
Sample733,0.030201124950324853,9.99999000001117e-07,0.763796528458727,0.11647382262825168,0.08952752396369656
Sample746,0.002146593711945745,0.5041371361658148,0.49370868265175677,9.99999017695814e-07,6.587471464991719e-06
Sample759,0.054568714471482704,0.03791621507254234,0.9073883915244155,0.00012329682401870975,3.3821075408190593e-06
Sample767,0.004194928168097188,1.4565046848119709e-06,0.984301907263745,0.011500708064472542,9.999990005451857e-07
Sample803,0.0009312887038581796,9.999980043364147e-07,0.9712293510693701,0.027837360230763063,9.999980043364147e-07
Sample812,9.999990015980938e-07,0.12690054517694335,0.7982798648006918,0.07310824349303648,0.0017103465303268716
Sample827,0.010436229872349946,0.12058152633309015,0.8689717418160048,9.50197955507018e-06,9.999990000055215e-07
Sample838,3.494110065914658e-06,0.15439017262404794,0.8453718509422505,9.999990000028968e-07,0.00023348232463554167
Sample853,0.016063511758135595,0.09982547664634019,0.8839363969223422,2.1143980834481997e-05,0.00015347069234760024
Sample868,4.456021879766849e-05,0.0020247699511110524,0.8808925074740863,0.11697473965126275,6.34227047421928e-05
Sample871,0.17154527534607414,9.999981209097135e-07,0.6155483997718922,0.21290432488579195,9.999981209097135e-07
Sample872,0.00027256932113991155,9.999971656310497e-07,9.999971656310497e-07,0.9997244306873634,9.999971656310497e-07
Sample882,0.16895915211769985,9.999970722265728e-07,0.8310378478910837,9.999970722265728e-07,9.999970722265728e-07
Sample904,0.00849600896759583,0.029822252585739395,0.06004531081275243,0.17557621879380475,0.7260602088401076
Sample906,0.14368448395998432,0.00024194573269197266,0.8239353862538579,0.03213718405446581,9.99999000001e-07
Sample919,0.0002074945933351398,9.999980036087037e-07,0.9987149604427025,0.0010755449679551961,9.999980036087037e-07
Sample943,0.05417020850239117,9.99999000001139e-07,0.9454829924999387,5.550584150815876e-06,0.0003402484145192223
Sample961,0.05232980076120552,0.3547087821930478,0.5929588293324799,1.5877142668834417e-06,9.999990000151085e-07
Sample983,0.06771582433966707,0.0009487003952863477,0.7520267832810787,9.999990001327942e-07,0.17930769198496757
