,0,1,2
Sample1006,0.208342092879138,0.30814527158230487,0.4835126355385572
Sample1023,0.3510217167913333,0.6489772832096667,9.999990000010835e-07
Sample118,0.601988254571147,0.3971103832712422,0.0009013621576108497
Sample120,0.2777371467101158,0.6421033314857768,0.08015952180410729
Sample127,7.213940292812302e-05,0.9999268605980719,9.99999000001e-07
Sample134,0.4073316011233922,0.592657068493724,1.1330382883889212e-05
Sample177,0.28691126864397765,0.6451779071732155,0.06791082418280693
Sample215,0.47611733324996064,0.5225588505658947,0.0013238161841446442
Sample230,0.2577499025726455,0.6987015433412596,0.043548554086095
Sample234,0.32488769928774974,0.6751113007132218,9.999990284460726e-07
Sample244,0.2921660461639569,0.7078327482437244,1.205592318636117e-06
Sample261,7.100057696685197e-05,0.9999279994238999,9.99999133208177e-07
Sample263,0.224065142515494,0.2616341596945127,0.5143006977899934
Sample290,0.102499644200089,0.8877015578115707,0.009798797988340373
Sample302,0.2557411599331927,0.7145222244510833,0.029736615615724025
Sample321,0.5069315815802617,0.4930674184207367,9.999990015967392e-07
Sample330,0.22103775022460637,0.7789612497763936,9.99999000041544e-07
Sample343,0.06765233948584859,0.9323317958209016,1.586469324979964e-05
Sample353,0.14164852334113623,0.6077836397251462,0.2505678369337177
Sample371,0.0024740668533763076,0.965595779119428,0.031930154027195776
Sample387,0.006888410829898366,0.8452010070476439,0.14791058212245778
Sample409,0.019922307168797282,0.9008015735887955,0.07927611924240724
Sample416,0.1616207144477502,0.4880728451195004,0.35030644043274944
Sample424,0.6098463811348455,0.20219713507931486,0.18795648378583965
Sample427,0.14465689664188688,0.8553327927169986,1.0310641114403698e-05
Sample454,0.2709103798774223,0.7290886201233304,9.999992473431528e-07
Sample477,0.008927597264458055,0.9910714027356902,9.999998518325971e-07
Sample482,0.008196085316747972,0.9918029146842521,9.999990000010003e-07
Sample491,0.10557786403382083,0.8941136016675296,0.000308534298649568
Sample495,9.99999000001e-07,0.8540195233130199,0.14597947668798011
Sample507,0.9999368230782897,6.2176922710268e-05,9.999990000241901e-07
Sample509,0.024569786118237538,0.9467764464118751,0.028653767469887396
Sample512,0.06398513494111582,0.9166332693014938,0.019381595757390437
Sample522,0.007011175439491053,0.9595361405489732,0.03345268401153582
Sample548,0.5308439036926001,0.35155729677187886,0.1175987995355211
Sample564,0.054955764555767686,0.7695154225161871,0.17552881292804526
Sample609,0.14374349883303805,0.8561634046361731,9.309653078878656e-05
Sample616,0.06652308541097557,0.6543688874288673,0.2791080271601572
Sample620,0.21113340710007128,0.7830785543437736,0.005788038556155163
Sample624,0.19521733295632182,0.31656774578682406,0.4882149212568541
Sample631,0.22699279636381445,0.7536174589129625,0.019389744723223093
Sample687,0.002113763636380808,0.9196481387884439,0.07823809757517532
Sample710,0.3524163080449809,0.6475826919560191,9.999990000010632e-07
Sample712,0.3344128116064905,0.6652042754402953,0.0003829129532144008
Sample717,0.5366949547650272,0.2671693843780508,0.19613566085692188
Sample733,0.0355149524320858,0.8289800759179172,0.13550497164999703
Sample746,0.49869212822358483,0.501211946015935,9.59257604802554e-05
Sample759,0.05590718598615714,0.9440918140141032,9.999997397807956e-07
Sample767,9.999990046635082e-07,0.9962556368821843,0.0037433631188110014
Sample803,9.999990000274118e-07,0.9868567602073567,0.013142239793643167
Sample812,0.12681114356863887,0.8290606928132644,0.044128163618096634
Sample827,0.11510394106137779,0.8848950589396222,9.999990000271717e-07
Sample838,0.13639502585194163,0.8636039741489181,9.999991402105233e-07
Sample853,0.0959154259016548,0.9040835740993258,9.999990194028706e-07
Sample868,0.0009759237348572886,0.9270165868189948,0.07200748944614795
Sample871,0.10741139664783624,0.7331957856453921,0.15939281770677163
Sample872,0.22228112512238926,0.029573981987371864,0.7481448928902389
Sample882,0.11637242007817726,0.8836265799228228,9.999990000010003e-07
Sample904,0.26960000235161785,0.11003869466876562,0.6203613029796167
Sample906,0.08298417418251625,0.8794105215710581,0.037605304246425664
Sample919,9.999981769754924e-07,0.9999980000036462,9.999981769754924e-07
Sample943,0.010988882530821083,0.9890101174701785,9.999990002979164e-07
Sample961,0.3867542555503598,0.6132447444506403,9.999990001070632e-07
Sample983,0.07050942771814145,0.8122800230893286,0.11721054919253002
