,0,1,2,3
Sample1006,0.23710241674293805,0.050250304039517406,0.6625400247495673,0.050107254467977314
Sample1023,0.6415002498799645,0.040504974555805665,1.936488774134928e-06,0.31799283907545567
Sample118,0.3810344118526132,0.03472180035160343,0.00141372693908124,0.5828300608567022
Sample120,0.48686855802763485,0.40786570792527044,0.06991759184898226,0.03534814219811253
Sample127,0.9932499873328146,0.006743120714463821,9.999990005064178e-07,5.891953721187122e-06
Sample134,0.5764631650706811,9.999993478742873e-07,0.00192932016561067,0.42160651476436045
Sample177,0.5306634016891578,0.38494016677747056,0.08439543153437024,9.999990013691541e-07
Sample215,0.533010460782471,5.470633676866672e-06,1.138462642508601e-05,0.4669726839574269
Sample230,0.6929365644589207,0.046557954950584596,0.015635955275010945,0.24486952531548375
Sample234,0.6648962548194397,2.811779476208832e-05,9.99999000001e-07,0.3350746273867982
Sample244,0.6965711443698165,0.019447211938543877,0.0006109944382178784,0.28337064925342187
Sample261,0.997254630532688,6.563483934392354e-05,9.999990531463163e-07,0.0026787346289149283
Sample263,0.1797738404632871,4.388767045742849e-05,0.7934746747360646,0.02670759713019097
Sample290,0.8652044069220699,0.03466466609901793,0.006855360175455602,0.0932755668034566
Sample302,0.6813024313522952,0.07092814739245797,0.025447580246065978,0.22232184100918082
Sample321,0.48703437261449417,9.999990001407751e-07,7.154513559330092e-05,0.5128930822509125
Sample330,0.7505400634907846,0.024829984214524526,9.999990000131965e-07,0.22462895229569077
Sample343,0.9106882964315859,0.03636530587557652,1.1851519437644594e-05,0.05293454617340003
Sample353,0.5546154118669001,0.16512394651639475,0.15261057934128539,0.1276500622754197
Sample371,0.9567359152265706,0.024305791129279584,0.01895729364514982,9.999990000092548e-07
Sample387,0.8189686058161226,0.08814331551835103,0.0928673423022526,2.0736363273906327e-05
Sample409,0.8635607594479856,0.07417076325819172,0.04760751280021866,0.014660964493603965
Sample416,0.402556872013824,0.01537038308347408,0.5679040033657956,0.01416874153690617
Sample424,0.19502169355599333,0.131535808553565,0.10285569686318295,0.5705868010272588
Sample427,0.833914981187884,0.022375088477148992,9.999990000699435e-07,0.14370893033596693
Sample454,0.6930535247739947,0.03241744549290881,7.951381720473457e-05,0.27444951591589184
Sample477,0.9771067680214062,0.0202807590807801,5.379310063139775e-05,0.0025586797971823443
Sample482,0.9597778255892356,0.03509917838465318,0.002152059535068144,0.0029709364910431176
Sample491,0.851136593911908,0.09302691125472251,4.834885644470777e-05,0.055788145976924865
Sample495,0.8252404644601206,0.08234504603479967,0.09241348950607983,9.999990000068664e-07
Sample507,7.143528778976445e-05,4.859452529353396e-05,3.025708681547134e-05,0.9998497131001013
Sample509,0.9186554078381451,0.05042936399230985,0.03011836942162715,0.0007968587479179399
Sample512,0.9026401715080067,0.03633344767743964,0.009460834922730796,0.05156554589182289
Sample522,0.9383826100306211,0.032649721650805444,0.028958138226106947,9.530092466598885e-06
Sample548,0.0008401906914413241,0.6245132997754912,0.0026087313376862735,0.3720377781953812
Sample564,0.7181991964319112,0.06496112782885377,0.21442428181365678,0.002415393925578292
Sample609,0.799132109652574,0.08728664541915329,9.999990000010642e-07,0.11358024492927266
Sample616,0.6009553963979913,0.11076457181756147,0.2882790317854441,9.99999003123287e-07
Sample620,0.7575185084900617,0.017603068428977926,0.004445091416862523,0.22043333166409773
Sample624,0.21881211642455997,0.02020528315464618,0.7290226782884395,0.03195992213235428
Sample631,0.7479652015119206,0.02201070715402325,0.007565523663649882,0.22245856767040625
Sample687,0.8951408345997738,0.06527654393083468,0.039579747271542794,2.874197848746349e-06
Sample710,0.6346159051692285,0.06098167923053784,9.999990253977801e-07,0.30440141560120837
Sample712,0.617139462958643,0.08897448942513897,9.999990000540862e-07,0.29388504761721806
Sample717,0.262579617305636,0.1271904203979588,0.10699337436298459,0.5032365879334206
Sample733,0.7920557805461108,0.06713188494149333,0.14081133451338215,9.999990138027243e-07
Sample746,0.49094830314606436,0.00017980598781778545,9.999990000019278e-07,0.508870890867118
Sample759,0.9217785673189836,0.032443810264420336,9.999990059992253e-07,0.04577662241759012
Sample767,0.9915575301450186,0.0036253197853876283,0.003296942567242772,0.0015202075023510225
Sample803,0.9788670490356292,0.013096837618155376,0.008035113347198197,9.999990172624505e-07
Sample812,0.8120880593971583,0.03213928790395588,0.02156812386142862,0.13420452883745718
Sample827,0.8729824138864736,0.010916670002058027,0.0001729311902529361,0.1159279849212155
Sample838,0.8528090048867765,9.999990242453664e-07,3.311578332993299e-05,0.14715687933086943
Sample853,0.8891964252545903,0.011247791625279675,9.999990001344973e-07,0.09955478312112981
Sample868,0.9067128131609097,0.042930584865500644,0.049079856705216265,0.0012767452683734304
Sample871,0.6709717766346709,0.18358155940738144,0.13303186592430866,0.012414798033639143
Sample872,0.07629487342926472,0.39815709285136647,0.4164534122795075,0.10909462143986144
Sample882,0.8564488880030754,0.10521446498395431,9.999990000009998e-07,0.03833564701397019
Sample904,0.0708156772050586,0.08136659892319893,0.8116229820498767,0.03619474182186575
Sample906,0.8435674988949137,0.0935430161794974,0.03831775445127645,0.02457173047431247
Sample919,0.9999760225093305,2.7245097065317607e-06,2.0252981942272402e-05,9.999990208226869e-07
Sample943,0.955324686228293,0.03451136694418509,0.010097970685549459,6.597614197242472e-05
Sample961,0.6060121598520588,0.026332168551705754,1.5242885872983802e-06,0.36765414730764817
Sample983,0.7534556864677231,0.03946779301146686,0.205693325629978,0.0013831948908320918
