,0,1
Sample1006,0.692024224644805,0.3079757753551951
Sample1023,0.33792438416123527,0.6620756158387647
Sample118,0.6155985547576831,0.38440144524231684
Sample120,0.5136244957426649,0.48637550425733506
Sample127,4.390387959932671e-05,0.9999560961204007
Sample134,0.39067307421493647,0.6093269257850635
Sample177,0.5080785211288803,0.49192147887111976
Sample215,0.4677179033677119,0.5322820966322882
Sample230,0.29785690034353884,0.7021430996564613
Sample234,0.3414936725952137,0.6585063274047864
Sample244,0.28865694032893197,0.711343059671068
Sample261,3.643980056090895e-05,0.9999635601994391
Sample263,0.7160693515950053,0.2839306484049947
Sample290,0.10180001170767411,0.898199988292326
Sample302,0.32308294492412665,0.6769170550758734
Sample321,0.4975096349063424,0.5024903650936576
Sample330,0.21284734655764093,0.7871526534423591
Sample343,0.06811380252174919,0.9318861974782509
Sample353,0.369177328348639,0.6308226716513611
Sample371,0.019739567083737756,0.9802604329162623
Sample387,0.12059594002098659,0.8794040599790135
Sample409,0.0873970263269499,0.9126029736730501
Sample416,0.5467843706302751,0.453215629369725
Sample424,0.7777290877620897,0.22227091223791032
Sample427,0.13285993131233806,0.867140068687662
Sample454,0.2815688847997125,0.7184311152002876
Sample477,0.011274624831961151,0.9887253751680388
Sample482,0.009057332980150407,0.9909426670198496
Sample491,0.12738477681958799,0.8726152231804121
Sample495,0.09524199073293416,0.9047580092670658
Sample507,0.9999990000009975,9.999990026040814e-07
Sample509,0.05393897283676318,0.9460610271632367
Sample512,0.07391501018208367,0.9260849898179163
Sample522,0.020455612609524144,0.9795443873904759
Sample548,0.9765715536836168,0.023428446316383248
Sample564,0.22973805312732612,0.7702619468726739
Sample609,0.16405336440635648,0.8359466355936435
Sample616,0.3271775184893763,0.6728224815106237
Sample620,0.2060728420630652,0.7939271579369348
Sample624,0.6828629356274202,0.31713706437257977
Sample631,0.1785587635802077,0.8214412364197923
Sample687,0.037541501201636934,0.9624584987983631
Sample710,0.3482681336280638,0.6517318663719361
Sample712,0.4146647567770706,0.5853352432229295
Sample717,0.7102967942104861,0.28970320578951386
Sample733,0.17064188849951714,0.8293581115004829
Sample746,0.49989694925698874,0.5001030507430112
Sample759,0.04179938110445615,0.9582006188955439
Sample767,0.00022183238201414066,0.9997781676179859
Sample803,0.001366105057207185,0.9986338949427929
Sample812,0.13811562917363612,0.8618843708263638
Sample827,0.0803863048840083,0.9196136951159917
Sample838,0.10651617292194743,0.8934838270780525
Sample853,0.07157770419884388,0.9284222958011561
Sample868,0.03690334704466678,0.9630966529553332
Sample871,0.3234846393582564,0.6765153606417437
Sample872,0.7260128791800313,0.2739871208199686
Sample882,0.13119525980733154,0.8688047401926685
Sample904,0.784742065091294,0.21525793490870598
Sample906,0.14402288680954123,0.8559771131904588
Sample919,9.99999472701712e-07,0.9999990000005272
Sample943,0.014329038044508082,0.985670961955492
Sample961,0.3585665142635853,0.6414334857364147
Sample983,0.19460940098645885,0.8053905990135412
